TAG,KEY,English,Russian,German,French,Spanish,Italian,Portuguese,Chinese,Japanese,Bulgarian,Lithuanian
Common,bye,Bye,Пока,,,,,,,,,
Common,continue,Continue,Продолжить,,,,,,,,,
Common,pleaseContinue,Please continue,"Пожалуйста, продолжай",,,,,,,,,
DateTime,day,day,день,Tag,jour,día,giorno,dia,天,日,ден,diena
DateTime,daysShort,d,д,t,j,d,g,d,日,日,д,d
DateTime,hoursShort,h,ч,s,h,h,h,h,时,時間,ч,v
DateTime,lessThanOneMinute,Less than 1m,Менее 1м,Weniger als 1 Minute,Moins d'1m,Menos de 1 m,Meno di 1 m,Menos de 1 m,少于1分钟,1分未満,По-малко от минута,Mažiau nei 1 min.
DateTime,minutesShort,m,м,m,m,m,m,m,分,分,м,m
DateTime,secondsShort,s,с,s,s,s,s,s,秒,秒,с,s
Language,Bulgarian,,,,,,,,,,Български,
Language,Chinese,,,,,,,,中文,,,
Language,English,English,,,,,,,,,,
Language,French,,,,Français,,,,,,,
Language,German,,,Deutsch,,,,,,,,
Language,Italian,,,,,,Italiano,,,,,
Language,Japanese,,,,,,,,,日本語,,
Language,Lithuanian,,,,,,,,,,,Lietuvių
Language,Portuguese,,,,,,,Português brasileiro,,,,
Language,Russian,,Русский,,,,,,,,,
Language,Spanish,,,,,Español,,,,,,
Language,language,Language,Язык,,,,,,,,,
Settings,graphics,Graphics,Графика,,,,,,,,,
Settings,refreshRate,Refresh rate,Частота обновления,,,,,,,,,
Settings,display,Display,Дисплей,,,,,,,,,
Settings,other,Other,Разное,,,,,,,,,
Settings,shadows,Shadows,Тени,,,,,,,,,
Settings,on,ON,ВКЛ,,,,,,,,,
Settings,off,OFF,ВЫКЛ,,,,,,,,,
Settings,sound,Sound,Звук,,,,,,,,,
Settings,music,Music,Музыка,,,,,,,,,
Settings,fpsLimit,FPS Limit,Ограничение FPS,,,,,,,,,
Settings,antiAliasing,Anti Aliasing,Сглаживание,,,,,,,,,
Settings,restart,Restart,Перезапуск,,,,,,,,,
Settings,load,Load,Загрузить,,,,,,,,,
Settings,reset,Reset,Сброс,,,,,,,,,
Settings,renderScale,Render Scale,Масштаб отрисовки,,,,,,,,,
Settings,fullScreen,Fullscreen,Во весь экран,,,,,,,,,
Settings,musicVolume,Music volume,Громкость музыки,,,,,,,,,
Settings,masterVolume,Master volume,Общая громкость,,,,,,,,,
